Timestamp (s), Actor Name
115.00, dataset_images\Salman_Khan\salman-khan1
115.20, dataset_images\Govinda\Govinda5
115.60, dataset_images\Govinda\Govinda5
115.80, dataset_images\Govinda\Govinda5
116.00, dataset_images\Govinda\Govinda5
117.60, dataset_images\katrina_kaif\Katrina_Kaif
117.80, dataset_images\katrina_kaif\Katrina_Kaif
118.00, dataset_images\katrina_kaif\Katrina_Kaif
118.20, dataset_images\katrina_kaif\Katrina_Kaif
118.40, dataset_images\katrina_kaif\Katrina_Kaif
118.60, dataset_images\katrina_kaif\Katrina_Kaif
118.80, dataset_images\katrina_kaif\Katrina_Kaif
122.20, dataset_images\Govinda\Govinda1
122.60, dataset_images\Govinda\Govinda1
123.00, dataset_images\Govinda\Govinda1
123.20, dataset_images\Govinda\Govinda1
123.40, dataset_images\Govinda\Govinda1
123.60, dataset_images\Govinda\Govinda1
123.80, dataset_images\Govinda\Govinda1
124.00, dataset_images\Govinda\Govinda1
124.20, dataset_images\Govinda\Govinda1
124.40, dataset_images\Govinda\Govinda1
124.60, dataset_images\Govinda\Govinda1
124.80, dataset_images\Govinda\Govinda1
125.00, dataset_images\Govinda\Govinda1
125.20, dataset_images\Govinda\Govinda1
125.40, dataset_images\Govinda\Govinda1
125.60, dataset_images\Govinda\Govinda1
125.80, dataset_images\Govinda\Govinda1
126.00, dataset_images\Govinda\Govinda1
126.40, dataset_images\Govinda\Govinda1
127.20, dataset_images\Govinda\Govinda1
127.40, dataset_images\Govinda\Govinda1
127.60, dataset_images\Govinda\Govinda1
127.80, dataset_images\Govinda\Govinda1
128.00, dataset_images\Govinda\Govinda1
128.40, dataset_images\Govinda\Govinda1
128.60, dataset_images\Govinda\Govinda1
128.80, dataset_images\Govinda\Govinda1
129.00, dataset_images\Govinda\Govinda1
129.20, dataset_images\Govinda\Govinda1
129.40, dataset_images\Govinda\Govinda1
129.60, dataset_images\Govinda\Govinda1
129.80, dataset_images\Govinda\Govinda1
130.00, dataset_images\Govinda\Govinda1
130.20, dataset_images\Govinda\Govinda1
130.40, dataset_images\Govinda\Govinda1
130.80, dataset_images\Govinda\Govinda1
131.60, dataset_images\Govinda\Govinda1
133.00, dataset_images\Govinda\Govinda1
133.20, dataset_images\Govinda\Govinda1
133.40, dataset_images\Govinda\Govinda1
133.80, dataset_images\Govinda\Govinda1
134.20, dataset_images\Govinda\Govinda1
134.40, dataset_images\Govinda\Govinda1
134.60, dataset_images\Govinda\Govinda1
134.80, dataset_images\Govinda\Govinda1
135.00, dataset_images\Govinda\Govinda5
135.20, dataset_images\Govinda\Govinda5
135.60, dataset_images\Govinda\Govinda1
